Time,Velocity,Altitude,Pressure,Temperature,Pitch, 
2011:81:14:03:71,254.4507412504581,10019.144789792977,40.290649080281746,49.26883209415523,-3.663898115117746,
2011:81:14:03:73,282.89100990432723,10180.684063506844,90.8280535429341,11.31865199446527,3.997838023356735,
2011:81:14:03:80,294.6338838697001,10047.503395689817,90.57100029717193,-41.25617635458998,7.713146765177633,
2011:81:14:03:83,281.7023802854221,10170.29426691462,96.57954153730876,-29.75681475955242,-12.731686231077006,
2011:81:14:03:84,279.09183560165343,10197.007265889752,43.20651285413335,33.52766884986016,-4.61758096822839,
2011:81:14:03:88,252.78267474380033,10013.264409947627,98.45941309034228,33.31095589679633,-11.452418797222528,
2011:81:14:03:88,257.19581006824944,10189.131551563314,42.069680779421944,26.01800351805896,-7.596200702486813,
2011:81:14:03:89,286.81067388207117,10128.037910998839,98.53311860353736,-37.54490533023446,-3.5335015958030027,
2011:81:14:03:89,260.4755162748035,10155.910456939702,96.67118696044028,1.21046901107551,-0.7081585467489422,
2011:81:14:03:90,299.37625713287935,10008.399706268228,44.28108941541495,44.987907035183454,-13.151591793897214,
2011:81:14:03:92,264.00695520096883,10000.683700195148,43.037630723130036,-3.500075467928852,-6.27286118353444,
2011:81:14:03:93,269.39764671815504,10104.409978198337,41.39570803237444,-17.944552883376538,14.348929482581127,
2011:81:14:03:93,281.01546000647835,10074.228873067676,43.58343024759608,-48.9851224246776,11.133539016241361,
2011:81:14:03:94,293.7763299835776,10048.437866144406,41.93291364675254,-8.005069193583289,-8.31482800015229,
2011:81:14:03:95,278.3515656255178,10024.562823317661,98.53953451980976,30.083751939756937,-8.60879881859756,
2011:81:14:03:96,251.42512670052704,10136.49124990031,44.78712349500023,-37.83796996907445,-14.009567183660158,
2011:81:14:03:97,263.11520731620755,10141.415173465577,91.22374967261882,-15.428628395411025,11.100358629233593,
2011:81:14:03:98,296.64084408726404,10091.939340851577,91.92375329895026,-12.520465128502558,-14.051512082349605,
