Time,Velocity,Altitude,Pressure,Temperature, 
2009:16:12:01:444,13.167136474261042,733.690256207875*,11.720206109225861,0.04866731382481282, 
2009:16:12:01:741,17.530632351128283,733.690256207875*,20.197856346941823,0.07118915824725347, 
2009:16:12:01:991,18.086540572398448,733.690256207875*,36.6218547979813,0.19082039263905726, 
2009:16:12:01:241,30.463382777097703,733.690256207875*,54.423474588903844,0.21570763135303483, 
2009:16:12:01:491,51.62094693403208,733.690256207875*,70.55841490597791,0.38306462723420864, 
2009:16:12:01:741,62.374419626681885,733.690256207875*,71.7907338248458,0.4901550381105735, 
2009:16:12:01:991,64.82038791918276,733.690256207875*,71.90733511390323,0.5830217744611232, 
2009:16:12:01:241,66.46941940117811,733.690256207875*,91.05774943150458,0.6251398116806195, 
2009:16:12:01:491,71.96474677971854,733.690256207875*,93.88544399337783,0.6277137002808186, 
2009:16:12:01:741,75.88265615806355,733.690256207875*,113.78075378290941,0.8116631225922433, 
2009:16:12:01:991,87.22226077564,733.690256207875*,115.87503136385679,0.9146627664107121, 
2009:16:12:01:241,90.03346361790176,733.690256207875*,116.43500125117168,0.9357221631032919, 
2009:16:12:01:491,95.54295641663334,733.690256207875*,127.72476433297597,1.5315037258101238, 
2009:16:12:01:741,96.99930651561472,733.690256207875*,137.37135146348888,1.544102274772674, 
2009:16:12:01:991,121.5762657961772,733.690256207875*,139.49911502476374,1.56896041666037, 
2009:16:12:01:241,122.02582998553046,733.690256207875*,143.30467012988345,1.6698785062760013, 
2009:16:12:01:491,128.9632905253273,733.690256207875*,152.05508084933706,1.8624875556440545, 
2009:16:12:01:741,132.3801052213588,733.690256207875*,152.62436436065397,1.9033440648095312, 
2009:16:12:01:991,134.83334078116994,733.690256207875*,166.05853589899965,2.1230489385912543, 
2009:16:12:01:241,141.3214513730957,733.690256207875*,173.2804846950342,2.6756995813344786, 
2009:16:12:01:491,141.55080138970277,733.690256207875*,176.4003967297345,3.031781405823042, 
2009:16:12:01:757,146.9437663372001,733.690256207875*,179.59432386809192,3.4941787165746363, 
2009:16:12:01:07,147.0739089332126,733.690256207875*,195.19854452211493,3.664306592432609, 
2009:16:12:01:257,154.0440603871811,733.690256207875*,230.834709053519,3.694558428197814, 
2009:16:12:01:507,171.41774350055826,733.690256207875*,251.31669742541774,3.801168928021703, 
2009:16:12:01:757,196.3496314909887,733.690256207875*,272.10259577091557,3.9671612747415153, 
2009:16:12:01:07,199.23989768044393,733.690256207875*,282.72510728660774,4.049206752727629, 
2009:16:12:01:257,200.34236094135738,733.690256207875*,290.3656764747331,4.589834076860666, 
2009:16:12:01:507,206.02020196009073,733.690256207875*,290.49687686932833,4.698621309119277, 
2009:16:12:01:757,212.63612155911983,733.690256207875*,291.2115111794056,5.033370991292296, 
2009:16:12:01:07,222.09797596435754,733.690256207875*,306.0480297845647,5.140780170708725, 
2009:16:12:01:257,224.42114790813906,733.690256207875*,311.86729717193384,5.219585816078598, 
2009:16:12:01:507,236.86001205385375,733.690256207875*,322.81581118044244,5.280164455935132, 
2009:16:12:01:757,255.4354904794135,733.690256207875*,324.157240912456,5.483225091886368, 
2009:16:12:01:07,257.7150068702623,733.690256207875*,327.0052446434346,5.566608644543547, 
2009:16:12:01:257,258.20024603116974,733.690256207875*,328.8355479076166,6.177046550841203, 
2009:16:12:01:507,265.05716621119444,733.690256207875*,331.36795289799517,6.18707143155669, 
2009:16:12:01:757,265.3958635177416,733.690256207875*,331.89774598137876,6.36864651132022, 
2009:16:12:01:07,268.7154133210371,733.690256207875*,334.0248377118582,6.518869115195414, 
2009:16:12:01:257,271.09226418111433,733.690256207875*,340.1676102063933,6.60396793436453, 
2009:16:12:01:507,294.54444444801743,733.690256207875*,350.77738602793397,6.626804839419698, 
2009:16:12:01:757,301.8598803775888,733.690256207875*,375.9574870929683,6.939197553786059, 
2009:16:12:01:07,358.7686124486621,733.690256207875*,406.5366760454314,7.174583052940409, 
2009:16:12:01:257,380.35421634044144,733.690256207875*,425.0323385766086,7.193166249035121, 
2009:16:12:01:507,384.240559882999,733.690256207875*,425.4805819269858,7.372163018816469, 
2009:16:12:01:757,400.80224883431003,733.690256207875*,455.9545601974868,7.539878304945214, 
2009:16:12:01:07,408.4318833086872,733.690256207875*,459.69234797487377,7.886398057796839, 
2009:16:12:01:257,408.9699730749772,733.690256207875*,505.5680424602249,8.099198447009858, 
2009:16:12:01:507,417.2532581530712,733.690256207875*,530.9828852193066,8.393520268800847, 
2009:16:12:01:757,426.3682041767336,733.690256207875*,575.4608467682621,9.032285621351456, 
2009:16:12:01:07,429.734359640513,733.690256207875*,586.2537110560795,9.038619683199034, 
2009:16:12:01:257,460.11304754231065,733.690256207875*,589.2809122786447,9.140390183280434, 
2009:16:12:01:507,482.208272728849,733.690256207875*,593.4641730545765,9.1694781726823, 
2009:16:12:01:757,486.45809506393454,733.690256207875*,602.5021875984737,9.277728689786468, 
2009:16:12:01:23,502.6971916063382,733.690256207875*,656.4458829836817,9.570425002902905, 
2009:16:12:01:273,513.4492512939419,733.690256207875*,657.1240491382014,9.729721283479265, 
2009:16:12:01:523,516.465674726794,733.690256207875*,657.8942737517268,9.981907671584878, 
2009:16:12:01:773,521.6087458657382,733.690256207875*,658.9128851986958,10.164029810520825, 
2009:16:12:01:23,532.9380565711359,733.690256207875*,663.3805425768635,10.744636661618113, 
2009:16:12:01:273,544.7131030852977,733.690256207875*,674.5246389102678,11.023638634478461, 
2009:16:12:01:523,553.7615789958058,733.690256207875*,685.5276262583254,11.680183107005215, 
